Product Name,MRP,Short description
Men Grey Pure Cotton Printed Spread Collar Roll Up Sleeves Casual Shirt,2199,"Grey abstract printed opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long roll-up sleeves, curved hem"
Men Navy Blue Solid Pure Cotton Casual Shirt,1999,"Navy blue solid Casual shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Red & Navy Blue Tartan Checked Cotton Sustainable Casual Shirt,1299,"Red and navy blue tartan checked Casual shirt, has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Sea Green Regular Solid Band Collar Arctic Linen Cotton Sustainable Casual Shirt,2199,"Sea Green solid casual shirt, has a mandarin collar, long sleeves, button placket, and curved hem"
Men Cotton Grey Slim Fit Casual Shirt,1749,"Grey solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
U S Polo Assn Men Rust Button Down Collar Cotton Solid Casual Shirt,2199,"Orange solid opaque Casual shirt ,has a button-down collar, button placket, na pocket, long regular sleeves, curved hem"
Men Grey Slim Fit Checked Cotton Linen Casual Shirt,2399,"Grey other checks checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Green Slim Fit Cotton Casual Shirt,2999,"Green solid opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Navy Blue Slim Fit Solid Pure Cotton Casual Shirt,2049,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, curved hem, and 1 patch pocket"
Men Blue Solid Pure Cotton Casual Shirt,1499,"Blue solid opaque Casual shirt, has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Red & Black Slim Fit Tartan Checks Pure Cotton Casual Shirt,1499,"Red tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 1 zip pocket, long regular sleeves, curved hem"
Men Green & Off White Gingham Checks Slim Fit Pure Cotton Casual Shirt,2699,"Green and off white gingham checks opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Black Slim Fit Vertical Stripes Opaque Pure Cotton Casual Shirt,1899,"Black and white vertical stripes opaque casual shirt, has a spread collar, full button placket, 1 patch pocket, long roll-up sleeves, and curved hem"
Men Navy Blue & Maroon Checked Cotton Casual Shirt,1049,"Navy blue tartan checks checked opaque Casual shirt ,has a spread collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Pure Linen Casual Shirt,2899,"Solid opaque Casual shirt, has a button-down collar, button placket, 1 pocket, long regular sleeves, curved hem"
U S Polo Assn Men Red Opaque Checked Cotton Tailored Fit Casual Shirt,2399,"Red other checks checked opaque Casual shirt ,has a button-down collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
Men Off White Slim Fit Printed Pure Cotton Casual Shirt,1999,"Off white vertical stripes printed opaque Casual shirt ,has a band collar, button placket, 1 patch pocket, long regular sleeves, curved hem"
